Son atributos de la persona física,Todas son correctas,"El nombre, el estado y el domicilio","La capacidad, el domicilio, y el estado","El nombre, el domicilio y la capacidad"
El código civil y comerial de la nación define las siguientes capacidades:,De derecho y de ejercicio,De hecho y de derecho,Todas son correctas,De hecho y de ejercicio
"Según el código civil y comercial de la nación, la propiedad intelectual",Es considerada un bien y por eso es parte del patrimonio,Es considerada cosa y por eso es parte de los bienes,Es considerada una cosa y por eso es parte del patrimonio,Ninguna de las opciones es correcta
Son personas jurídicas,Todas son correctas,Las empresas y sociedades comerciales.,Los organismos públicos y las ong,Las empresas y los organismos oficiales.
Son atributos de la persona física,Todas son correctas,"El nombre, el estado y el domicilio","La capacidad, el domicilio, y el estado","El nombre, el domicilio y la capacidad"
El derecho natural,Está contemplado en la legislación bajo ciertas restricciones,No está contemplado en la legislación vigente,Ninguna de las anteriores,Es el que vela por el cuidado de los recursos naturales
La ley,Ninguna de las otras opciones,Nunca puede tener efecto retroactivo,Entra en vigencia desde su promulgación salvo excepciones,Está en la cúspide de la pirámide jurídica
El dolo,Todas las afirmaciones son correctas,Se puede interpretar diferente en el derecho civil y en el penal,Tiene que producir daño para ser un delito civil,Una acepción es la intención es la intención de hacer daño
El derecho objetivo es,La ciencia que estudia las normas de convivencia en sociedad,Ninguna es correcta,La prerrogativa de los individuos de hacer o exigir lo que la ley los habilita,El que se refiere a las cosas y los bienes.
Según la constitución nacional la nación argentina adopta para su gobierno la forma,"Representativa, republicana y federal",Ninguna de las otras es correcta,"Democrática, republicana y federal.","Congresista, electoral y provincial"
Los actos jurídicos,Son hechos jurídicos legales y voluntarios,Son los hechos humanos producidos sin dolo.,Ninguna es correcta,Incluyen los delitos.
Los hechos jurídicos (dudar de ésta),Ninguna de las opciones es correcta.,Son los actos voluntarios.,"Tienen que realizarse con voluntad, libertad y discernimiento.",Incluyen los delitos.
"Según el ccycn, la propiedad intelectual",Es considerada un bien y por eso es parte del patrimonio.,Ninguna de las opciones es correcta,Es considerada cosa y por eso es parte de los bienes,Es considerada una cosa y por eso es parte del patrimonio.
Los socios de una sa son los directores de la misma.,FALSO,VERDADERO,-,-
Una srl tiene una responsabilidad solidaria entre los socios,FALSO,VERDADERO,-,-
La srl tiene un máximo de 50 socios.,VERDADERO,FALSO,-,-
"Una asociación civil es una entidad privada cuyos objetivos son culturales, educativos o religiosos y debe obtener un lucro en la actividad",FALSO,VERDADERO,-,-
Son fuentes de obligaciones,Los contratos y los delitos.,Todas son correctas.,Los contratos y las leyes naturales.,Las leyes positivos y naturales.
Las leyes,Todas son correctas.,Son propuestas por el poder ejecutivo,Son propuestas por los ciudadanos,Son propuestas por los legisladores
Los contratos nominados del ccyc son,Más de 25,Menos de 5,Entre 15 y 25,Entre 5 y 15.
Un contrato es,Un acuerdo de voluntades para reglar derechos que no necesita documentación.,El escrito que documenta un acuerdo de partes.,Un acuerdo de voluntades que debe ser formalizado y aprobado por autoridad competente.,Ninguna es correcta.
Los contratos se pueden clasificar como,Todas son correctas.,Unilaterales y bilaterales.,A título oneroso y a título gratuito.,Conmutativo y aleatorios.
Los contratos deben cumplir los siguientes pasos,Oferta y aceptación,"Invitación de ofertar, oferta, negociación y aceptación.",Ninguna es correcta.,"Invitación de ofertar, oferta y aceptación."
Los contratos se extinguen,Todas son correctas.,Al cumplirse todas las obligaciones estipuladas por todas las partes.,Por declaración de una de las partes.,Por rescisión bilateral.
Los contratos por ser un acuerdo de voluntades,Están entre las normas indisponibles de leyes y del código cycn y las normas supletorias de las leyes especiales.,Ninguna es correcta.,Están por encima de las leyes y el código.,Están por debajo de las leyes y el código.
En coste y costas el monto de la obra se conoce anticipadamente,FALSO,VERDADERO,-,-
Las licitaciones pueden llamarse en forma pública o privada.,VERDADERO,FALSO,-,-
En el régimen de compras de bienes y servicios para la apn se admiten llamados a licitación o a concurso,VERDADERO,FALSO,-,-
El ccycn,Es complementado por leyes especiales.,En la pirámide jurídica está debajo de la constitución pero en el nivel de las leyes nacionales.,Todas son correctas.,Fue sancionado en los últimos años.
Los contratos se concluyen mediante,Todas son correctas,Por una conducta de las partes que sea suficiente para demostrar la existencia de un acuerdo,La firma de un documento formal,La recepción de la aceptación de una oferta
Obligaciones del comitente en una obra pública nacional,Cooperar con el contratista para facilitar la realización de los trabajos,Pagar los gastos de pruebas y ensayos precontractuales necesarios para licitar,Pagar el contratista el lucro cesante cuando suspenda la obra,Devolver el fondo de garantía del contrato cuando el contratista pare la obra por un mes continuado
Señalar la opción incorrecta. Los concursos públicos de la apn,Realizan un llamado se hace a oferentes registrados en el sipro,"Tienen un criterio de selección del cocontratante basado primordialmente en factores cualitativos, no económicos",Son obligatorios por encima de un cierto monto que establece la normativa,Tienen que ser publicados en boletín oficial y medios de mayor participación
Señalar la opción incorrecta. Las licitaciones públicas de la apn,"Tienen a criterio de selección del cocontratante donde se valoran primordialmente factores cualitativos, no económicos",Deben ser publicadas en el boletín oficial y en medios de mayor circulación,Hacen un llamado dirigido a un número indeterminado de posibles oferentes,Son obligatorias por encima de un cierto monto que establece la normativa
En los contratos regidos por la ley de obra pública nacional,De no estar escrito el pacto comisorio deben seguirse los lineamientos del código civil y comercial,No está permitido usar el sistema de coste y costas para la contratación,Existen cláusulas exorbitantes a favor de la administración,La responsabilidad precontractual debe estar claramente establecida en su redacción
Posesión y tenencia: en ambos casos la persona ejerce el poder de hecho sobre la cosa pero...,"el poseedor tiene la intención de apropiarse de la cosa, mientras que en la tenencia esta intención no existe","se ejerce posesión por un tiempo indeterminado, la extensión de la tenencia debe estar especificada en el título","la posesión es del titular, la tenencia de un tercero autorizado",solo se ejerce posesión de bienes registrables y tenencia de bienes no registrables
el dominio es,"exclusivo, perpetuo, extenso, excluyente","perpetuo, inclusivo, extenso, prescriptivo","perpetuo, exclusivo, incluyente, oneroso","exclusivo, excluyente, extenso, prescriptivo"
según el código civil y comercial son algunos derechos reales sobre cosa ajena,"la servidumbre, la anticresis, la prenda, la hipoteca","la servidumbre, el tiempo compartido, la anticresis, la hipoteca","la superficie, la servidumbre, la anticresis, la prenda","la prende, la hipoteca, la servidumbre, los conjuntos inmobiliarios"
la expropiación,está prevista en la constitución nacional y debe ser indemnizada,no extingue el dominio sobre el bien expropiado,solo puede aplicarse a bienes particulares,es una forma de limitación al carácter administrativo del dominio
La interpretación exegética o legal es cuando se analiza una ley segùn,el espíritu con que fueron concebidas,su contenido literal,los principios generales del derecho,ninguna es correcta
Una carta de intención,expresa un consentimiento para negociar sobre ciertas bases.,ninguna es correcta,no está contemplado en nuestra legislación,es otra forma de denominar un contrato
Los contratos por ser un acuerdo de voluntades,Están entre las normas indisponibles de leyes y del código cycn y las normas supletorias de las leyes especiales.,Están por debajo de las leyes y el código,Están por encima de las leyes y el código,Ninguna es correcta
Los contratos pueden clasificarse en,Unilaterales o bilaterales,Onerosos o aleatorios,ninguna es correcta,Formales o innominados
En los contratos bajo la ley de Obra Pública el vínculo entre las partes,"tiene una relación jurídica asimétrica, en la que el comitente tiene jerarquía superior",ninguna es correcta,puede establecerse de modo informal.,permite al contratista exigir cláusulas exorbitantes al administrador.
Una causa de rescisión imputables al contratista es,Interrupción de la obra por más de 8 días en tres ocasiones,subcontratación de alguna tarea de la obra.,incumplimiento del contratista del pacto comisorio del contrato.,reducción del ritmo de la obra en un 10% durante un mes continuado.
En las contrataciones de la Administración Pública Nacional NO rige el siguientes principio,Tratamiento prioritario para los oferentes mejor puntuados en su historial de servicios.,"Competencia entre oferentes, Publicidad y difusión de las actuaciones y Transparencia en los procedimientos.",Razonabilidad del proyecto y eficiencia de la contratación a favor del interés público.,Responsabilidad de los agentes y funcionarios intervinientes en la gestión.
Según el Código Civil y Comercial son algunos derechos reales sobre cosa propia,"el condominio, la propiedad horizontal, la superficie, el tiempo compartido","el condominio, la propiedad horizontal, el cementerio privado, la anticresis","el dominio, el condominio, la posesión, el cementerio privado","el dominio, la propiedad horizontal, el usufructo, los conjuntos inmobiliarios"
En la prescripción adquisitiva,la posesión para prescribir debe ser ostensible y continua.,se perfecciona la prescripción liberatoria mediante la posesión continuada.,se permite la unión de posesiones salvo en los casos de usucapión.,se limita el carácter exclusivo del dominio.
En los contratos regidos por la ley de Obra Pública Nacional,Existen cláusulas exorbitantes a favor de la administración,No está permitido usar el sistema de Coste y Costas para la contratación,La responsabilidad precontractual debe estar claramente establecida en su redacción,De no estar escrito el pacto comisorio deben seguirse los lineamientos del Código Civil y Comercial.
Las contrataciones de la Administración Pública Nacional no comprenden:,Contrataciones de empleo público,Concesiones de obras públicas.,Concesiones de uso de los bienes del dominio público y privado del estado nacional.,?
Los contratos se pueden modificar mediante?,todas son correctas,un juez en cuanto afecten el orden publico, un acuerdo entre las partes Lo denominamos novación,Un juez a pedido de una de las partes cuando lo autoriza la ley
El cumplimiento de la obligación por pago es?,El cumplimiento estricto de la obligación, el cumplimiento de la obligación de cualquier modo,ninguna es correcta, solo en las obligaciones de dar
Motivos de disolución de SAS?, todas son correctas,fusion con otra empresa,se cumple el objetivo por el cual fue creada, le quitan el cuit
En la ley de obra publica nacional,Todas son correctas,La relación jurídica es asimétrica. El comité es el estado y tiene un nivel jurídico superior al del contratista,No se reconoce la responsabilidad pre contractual,Sus disposiciones no abarcan obras y servicios efectuados con subsidios y construcciones militares
El ajuste alzado?,todas son correctas,Es el sistema mas difundido sobre todo para las obras de envergadura,Admite dos formas de aplicarlo: la modalidad absoluta (ajuste alzado riguroso) y la modalidad relativa,Requiere un análisis profundo de la documentación del proyecto por parte del contratista
Un contrato es,Un acuerdo de voluntades para reglar derechos que no necesita documentación,ninguna es correcta, un acuerdo de voluntades que debe ser formalizado y aprobado por una autoridad competente, el escrito que documenta un acuerdo de partes
Las sociedades de interés son?,Todas son correctas,La sociedad cooperativa y Sociedad Colectiva,La sociedad de capital e industria,La sociedad comandita
Un contrato de compraventa de electrodomésticos se clasifica como:,Conmutativo,Formal,Unilateral,Innominado
Los contratos se extinguen,Todas son correctas,Por declaraciones de una de las partes en algunos casos en particular,Al cumplirse todas las obligaciones estipuladas por todas las partes,Por rescisión bilateral
Motivos de disolución de SRL,Todas son correctas, Prevista por los socios en el contrato constructivo y por decision de los socios,Por lograr el objetivo para el cual se formo o por la imposibilidad	de lograrlo,Por perdida total del capital social y por vencer el termino por el cual se constituyo
El Código Civil y Comercial de la Nación:,Todas son correctas,Es complementado por leyes especiales,Está vigente desde hace menos de 10 años.,En la pirámide jurídica está debajo de la constitución pero en el nivel de las leyes nacionales.
La interpretación dogmática o doctrinal es cuando se analiza una ley según:,Los principios generales del derecho,Ninguna es correcta.,El espíritu con que fueron concebidas.,Su contenido literal.
Obligaciones del contratista de una Obra Pública Nacional:,Permitir al comitente el contralor de la obra,Recotizar cuando el costo varía en más de un 20% por modificaciones del comitente.,Renegociar la entrega si el comitente atrasa la ejecución por más de tres meses.,Recibir la obra.
El plazo de concesión de una patente es:,Hasta un máximo de 20 años desde el inicio del tramite,Por lo general de por vida para el inventor,Desde 10 años renovable hasta 20 años,Hasta un máximo de 10 años
Las regulaciones de telecomunicaciones tienen alcance:,Todas son correctas,Nacional,Provincial y Municipal,Regional e Internacional
La mayor necesidad de regular las telecomunicaciones se da en un mercado:,De competencia parcial,Monopolio privado,Monopolio Estatal,De competencia perfecta
Las licencias de telecomunicaciones:,Todas son correctas,Son una autorización requerida para brindar servicios de telecomunicaciones,Permite al estado ejercer un control sobre la prestación de los servicios,Puede ser revocadas por el estado nacional ante incumplimientos
Son factores económicos para regular las telecomunicaciones:,Todas son correctas,Evitar las interferencias radioeléctricas,Asegurar el servicio independiente de las condiciones económicas,Evitar la practica monopolica
Seleccione los casos en que NO se puede aplicar una firma digital,Testamentos y en casos donde la ley diga explícitamente que se debe hacer firma holomografica,en informes periciales, un documento digitalizado,-
Son funciones de la Junta Central de consejos profesionales:,Actuar como tribunal de ética,Todas son correctas,Aplicar sanciones por faltas al ejercicio profesional,Organizar y administrar la matricula
En caso de desacuerdo de alguna parte con lo determinado por el perito puede:,Todas son correctas,Presentar un dictamen en disidencia por su consultor técnico,Hacer un pedido de explicaciones, impugnar la pericia
La pericia se realizara,De acuerdo a lo que determine el perito de oficio,De acuerdo a lo que determinen los consultores técnicos,De acuerdo a lo que determinen los abogados de las partes,Ninguna es correcta
Son funciones de los consejos profesionales,Todas son correctas,Aplicar sanciones por faltas al Ejercicio profesional,Estudiar el alcance de los títulos,Organizar y administrar la matricula
En pericias relacionadas con profesiones reguladas los peritos deberán,Estar inscriptos en el poder judicial,Presentar su titulo y matricula,Demostrar su idoneidad,Ninguna es correcta
Son sanciones previstas en la ley que regula Ejercicio profesional que pueden aplicar los consejos,La advertencia publica y la censura publica,Todas son correctas,La cancelación de la matricula y la inhabilitación para ejercer cargos públicos,La multa y prision
En argentina la propiedad industrial tiene por autoridad de aplicación,El instituto nacional dependiente del ministerio de producción,La dirección nacional de derechos del inventor dependiente del ministerio de producción,El instituto nacional de la propiedad industrial dependiente del ministerio de justicia y DDHH,El instituto nacional de la propiedad dependiente del ministerio de justicia y DDHH
Son factores económicos para regular las comunicaciones:,Evitar las interferencias, todas son correctas,aegurar el servicio independiente de las condiciones económicas, evitar practicas monopolicas
Obligaciones del contratista de una obra publica nacional,Recibir la obra,recotizar cuando el costo varia en mas de un 20% por modificación del comité, permitir al comite el control de la obra, renegociar la entrega si el comité atrasa la ejecución por mas de tres meses
Son cláusulas accesorias,Todas las opciones son correctas.,La condición resolutoria y la cláusula arbitral.,El pacto comisorio y la cláusula penal.,-
Obligaciones del comitente en una Obra Pública Nacional:,Cooperar con el contratista para facilitar la realización de los trabajos.,Pagar los gastos de pruebas y ensayos precontractuales necesarios para licitar.,Pagar al contratista el lucro cesante cuando suspenda la obra.,Devolver el fondo de garantía del contrato cuando el contratista pare la obra por un mes continuado.
Las contrataciones de la Administración Pública Nacional no comprenden:,Contrataciones de empleo público.,Concesiones de servicios públicos.,Concesiones de uso de los bienes del dominio público y privado del estado nacional.,Concesiones de obras públicas.
Son sanciones previstas por la ley regulatoria aplicables por el consejo profesional,La advertencia y censura pública.,La multa y prisión.,La cancelación de la matrícula y la inhabilitación para ejercer cargos públicos.,Todas las opciones son correctas.
Un ingeniero debe matricularse cuando:,Todas las opciones son correctas.,Ejerce libremente la profesión.,Ejerce la docencia exclusivamente.,Se desempeña bajo relación de dependencia.
La ley que regula el ejercicio profesional establece transgresiones,Todas las opcines son correctas.,Exclusivamente sobre actos profesionales graduados como ingenieros arquitectos y agrimensores.,Cuando se firman documentos como ingeniero sin haber participado en su elaboración,De ética de los profesionales con sus clientes.
Los modelos de utilidad,Tienen requisitos menos estrictos que las patentes. Debe mantenerse la novedad pero no la actividad inventiva y sus requisitos son mucho más laxos. Es un derecho creado para beneficio de las PyMES.,Tienen requisitos menos estrictos que las patentes. No requieren de la novedad ni de la actividad inventiva siendo sus requisitos mucho más laxos.,Tienen requisitos menos estrictos que las patentes. Debe mantenerse la novedad y la actividad inventiva pero sus requisitos son mucho más laxos.,Tienen requisitos menos estrictos que las patentes. Debe mantenerse la novedad y la actividad inventiva pero sus requisitos son mucho más laxos y se otorgan por un máximo de 5 años.
Elija la opción asociable a la patente industrial:,Novedad absoluta - Actividad inventiva - Aplicación industrial.,INPI - Derecho que otorga protección mundial - Club de París.,Innovación - Derechos de autor - Modelo de patentabilidad.,-
El convenio de Paris:,Fue suscrito por varios países entre ellos Argentina y da prioridad al inventor que ya inició el trámite por su invento en el país de origen.,Está vigente pero nunca fue corroborado por una ley que lo ratifique.,Fue aprobado por ley en Argentina y su fin es que los inventores puedan patentar sus inventos a nivel regional e internacional.,Se aplica a la propiedad intelectual y favorece a los autores para que sus obras puedan obtener los derechos en otros países en forma más rápida y simple.
La propiedad intelectual otorga un derecho:,Exclusivo de propiedad.,Exclusivo de uso y propiedad.,Exclusivo de uso.,Exclusivo de explotación.
En caso de un litigio el rol de un ingeniero puede ser,Todas las opciones son correctas.,Como árbitro.,Como parte (ya sea actora o demandada).,Como perito (ya sea de oficio o de parte).
